current_day,current_hour,current_minute,clicks,leads,spend,cpa,realized_cpc,daily_budget,max_bid,volatility,budget_status,current_day_spend
8,168,10080,0,0,0.0,0.0,4.38,700.0,4.38,1.0,normal,0.0
8,168,10095,24,1,58.6662,58.6662,2.4444,700.0,4.38,1.0,normal,58.6662
8,168,10110,5,0,5.8621,5.8621,1.1724,700.0,4.38,1.0,normal,64.5283
8,168,10125,16,0,44.7596,44.7596,2.7975,700.0,4.38,1.0,normal,109.2879
8,169,10140,8,1,9.1572,9.1572,1.1446,700.0,4.29,1.0,normal,118.4451
8,169,10155,14,0,19.2862,19.2862,1.3776,700.0,4.29,1.0,normal,137.7313
8,169,10170,13,0,34.8242,34.8242,2.6788,700.0,4.29,1.0,normal,172.5555
8,169,10185,8,0,20.6386,20.6386,2.5798,700.0,4.29,1.0,normal,193.1941
8,170,10200,10,0,21.4782,21.4782,2.1478,700.0,4.2,1.0,normal,214.6723
8,170,10215,11,0,10.8728,10.8728,0.9884,700.0,4.2,1.0,normal,225.5451
8,170,10230,7,0,29.4,29.4,4.2,700.0,4.2,1.0,normal,254.9451
8,170,10245,9,0,19.9439,19.9439,2.216,700.0,4.2,1.0,normal,274.889
8,171,10260,11,0,21.0947,21.0947,1.9177,700.0,4.03,1.0,normal,295.9837
8,171,10275,13,1,4.9333,4.9333,0.3795,700.0,4.03,1.0,normal,300.917
8,171,10290,11,0,31.8054,31.8054,2.8914,700.0,4.03,1.0,normal,332.7224
8,171,10305,11,1,44.33,44.33,4.03,700.0,4.03,1.0,normal,377.0524
8,172,10320,15,0,18.4691,18.4691,1.2313,700.0,4.03,1.0,normal,395.5215
8,172,10335,5,0,11.5586,11.5586,2.3117,700.0,4.03,1.0,normal,407.0801
8,172,10350,7,0,21.9654,21.9654,3.1379,700.0,4.03,1.0,normal,429.0455
8,172,10365,16,0,47.9149,47.9149,2.9947,700.0,4.03,1.0,normal,476.9604
8,173,10380,6,0,23.4,23.4,3.9,700.0,3.9,1.0,normal,500.3604
8,173,10395,12,1,46.8,46.8,3.9,700.0,3.9,1.0,normal,547.1604
8,173,10410,9,0,35.1,35.1,3.9,700.0,3.9,1.0,normal,582.2604
8,173,10425,16,0,57.462,57.462,3.5914,700.0,3.9,1.0,budget_constrained,639.7224
8,174,10440,15,1,56.4,56.4,3.76,700.0,3.76,1.0,budget_constrained,696.1224
8,174,10455,1,0,3.8776,3.8776,3.618,700.0,3.76,1.0,budget_depleted,700.0
8,174,10470,0,0,0.0,0.0,0.0,700.0,3.76,1.0,budget_depleted,700.0
8,174,10485,0,0,0.0,0.0,0.0,700.0,3.76,1.0,budget_depleted,700.0
8,175,10500,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,175,10515,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,175,10530,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,175,10545,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,176,10560,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,176,10575,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,176,10590,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,176,10605,0,0,0.0,0.0,0.0,700.0,3.63,1.0,budget_depleted,700.0
8,177,10620,0,0,0.0,0.0,0.0,700.0,2.98,1.0,budget_depleted,700.0
8,177,10635,0,0,0.0,0.0,0.0,700.0,2.98,1.0,budget_depleted,700.0
8,177,10650,0,0,0.0,0.0,0.0,700.0,2.98,1.0,budget_depleted,700.0
8,177,10665,0,0,0.0,0.0,0.0,700.0,2.98,1.0,budget_depleted,700.0
8,178,10680,0,0,0.0,0.0,0.0,700.0,2.44,1.0,budget_depleted,700.0
8,178,10695,0,0,0.0,0.0,0.0,700.0,2.44,1.0,budget_depleted,700.0
8,178,10710,0,0,0.0,0.0,0.0,700.0,2.44,1.0,budget_depleted,700.0
8,178,10725,0,0,0.0,0.0,0.0,700.0,2.44,1.0,budget_depleted,700.0
8,179,10740,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,179,10755,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,179,10770,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,179,10785,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,180,10800,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,180,10815,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,180,10830,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,180,10845,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,181,10860,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,181,10875,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,181,10890,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,181,10905,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,182,10920,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,182,10935,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,182,10950,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,182,10965,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,183,10980,0,0,0.0,0.0,0.0,700.0,0.97,1.0,budget_depleted,700.0
8,183,10995,0,0,0.0,0.0,0.0,700.0,0.97,1.0,budget_depleted,700.0
8,183,11010,0,0,0.0,0.0,0.0,700.0,0.97,1.0,budget_depleted,700.0
8,183,11025,0,0,0.0,0.0,0.0,700.0,0.97,1.0,budget_depleted,700.0
8,184,11040,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,184,11055,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,184,11070,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,184,11085,0,0,0.0,0.0,0.0,700.0,1.21,1.0,budget_depleted,700.0
8,185,11100,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,185,11115,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,185,11130,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,185,11145,0,0,0.0,0.0,0.0,700.0,1.13,1.0,budget_depleted,700.0
8,186,11160,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,186,11175,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,186,11190,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,186,11205,0,0,0.0,0.0,0.0,700.0,1.05,1.0,budget_depleted,700.0
8,187,11220,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,187,11235,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,187,11250,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,187,11265,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,188,11280,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,188,11295,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,188,11310,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,188,11325,0,0,0.0,0.0,0.0,700.0,1.26,1.0,budget_depleted,700.0
8,189,11340,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,189,11355,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,189,11370,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,189,11385,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,190,11400,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,190,11415,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,190,11430,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,190,11445,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,191,11460,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,191,11475,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,191,11490,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
8,191,11505,0,0,0.0,0.0,0.0,700.0,1.3,1.0,budget_depleted,700.0
9,192,11520,0,0,0.0,0.0,0.0,700.0,1.3,1.0,normal,0.0
9,192,11535,4,2,3.8139,1.907,0.9535,700.0,1.3,1.0,normal,3.8139
9,192,11550,4,0,5.2,5.2,1.3,700.0,1.3,1.0,normal,9.0139
9,192,11565,1,0,0.5462,0.5462,0.5462,700.0,1.3,1.0,normal,9.5601
9,193,11580,4,0,4.6906,4.6906,1.1727,700.0,1.37,1.0,normal,14.2507
9,193,11595,5,0,6.85,6.85,1.37,700.0,1.37,1.0,normal,21.1007
9,193,11610,3,0,4.11,4.11,1.37,700.0,1.37,1.0,normal,25.2107
9,193,11625,6,0,7.7143,7.7143,1.2857,700.0,1.37,1.0,normal,32.925
9,194,11640,4,0,1.9368,1.9368,0.4842,700.0,1.44,1.0,normal,34.8618
9,194,11655,4,0,0.032,0.032,0.008,700.0,1.44,1.0,normal,34.8938
